instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_final_distance,mean_time_ms
TSPA,greedy_edge,5357,7084,6323.95,26565.13,23.0797649
TSPA,greedy_node,5342,7214,6323.88,26566.04,24.1844813
TSPA,random_walk,5197,7032,6206.25,26587.32,29.85273086
TSPA,steepest_edge,5357,7084,6324.92,26564.41,26.81463463
TSPA,steepest_node,5342,7214,6324.81,26573.72,28.88493042
TSPB,greedy_edge,17213,19401,18181.67,27179.04,24.454836869999998
TSPB,greedy_node,17184,19410,18126.12,27290.51,24.74201768
TSPB,random_walk,16921,19401,17978.7,27349.29,30.068313370000002
TSPB,steepest_edge,17213,19401,18213.62,27128.46,29.28122242
TSPB,steepest_node,17225,19410,18139.99,27273.06,29.014061849999997
