instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_final_distance,mean_time_ms
TSPA,greedy_edge,3730,6966,5487.27,20917.47,18.10732809
TSPA,greedy_node,-11516,3075,-2993.13,31832.31,26.3403714
TSPA,random_walk,-168441,-128855,-148483.86,166240.36,362.02026438
TSPA,steepest_edge,4355,7552,6068.08,22644.05,239.50083772000002
TSPA,steepest_node,-16843,526,-5967.6,37911.28,353.04191247
TSPB,greedy_edge,13508,18669,16631.63,24245.72,24.464578860000003
TSPB,greedy_node,187,14455,7539.33,35510.9,30.19455497
TSPB,random_walk,-160783,-113397,-138860.08,163013.4,362.01307458
TSPB,steepest_edge,15314,19360,17649.15,24819.39,268.99198412000004
TSPB,steepest_node,-3750,8418,2460.1,43031.74,369.78577949
