instance,solver,base_solver,min_final_objective,max_final_objective,mean_final_objective,mean_time_ms
TSPA,candidate_k10,candidate,4697,7619,6196.22,59.63506717999999
TSPA,candidate_k100,candidate,4327,7495,6247.02,388.56182315999996
TSPA,candidate_k15,candidate,4668,7384,6151.24,82.75456233999999
TSPA,candidate_k20,candidate,4668,7677,6228.75,99.07915106
TSPA,candidate_k200,candidate,4327,7495,6247.02,701.9713524800001
TSPA,candidate_k25,candidate,4434,7570,6180.64,116.49284970000001
TSPA,candidate_k5,candidate,1570,7479,5087.2,43.05131296
TSPA,candidate_k50,candidate,4327,7495,6231.36,210.84501367000001
TSPA,hybrid_k10,hybrid,4727,7421,6151.77,20.04618099
TSPA,hybrid_k100,hybrid,4724,7569,6059.58,47.24980386
TSPA,hybrid_k15,hybrid,3621,7656,5978.75,21.47952897
TSPA,hybrid_k20,hybrid,4099,7559,6037.26,23.38334439
TSPA,hybrid_k200,hybrid,4724,7822,6074.95,73.4060504
TSPA,hybrid_k25,hybrid,4967,7711,6154.24,24.39428129
TSPA,hybrid_k5,hybrid,656,7136,4406.13,17.72811888
TSPA,hybrid_k50,hybrid,4493,7569,6060.98,33.635849320000005
TSPA,lazy_pq_k10,lazy_pq,3794,7349,5977.3,35.94003255
TSPA,lazy_pq_k100,lazy_pq,3794,7349,5977.3,36.083792360000004
TSPA,lazy_pq_k15,lazy_pq,3794,7349,5977.3,36.24177759
TSPA,lazy_pq_k20,lazy_pq,3794,7349,5977.3,36.167384139999996
TSPA,lazy_pq_k200,lazy_pq,3794,7349,5977.3,35.70510237
TSPA,lazy_pq_k25,lazy_pq,3794,7349,5977.3,36.14154446
TSPA,lazy_pq_k5,lazy_pq,3794,7349,5977.3,35.973988
TSPA,lazy_pq_k50,lazy_pq,3794,7349,5977.3,36.03129338
TSPA,list_memory_k10,list_memory,4724,7822,6059.91,27.11695157
TSPA,list_memory_k100,list_memory,4724,7822,6059.91,26.99252261
TSPA,list_memory_k15,list_memory,4724,7822,6059.91,27.405169970000003
TSPA,list_memory_k20,list_memory,4724,7822,6059.91,27.05305644
TSPA,list_memory_k200,list_memory,4724,7822,6059.91,26.65765531
TSPA,list_memory_k25,list_memory,4724,7822,6059.91,27.332854349999998
TSPA,list_memory_k5,list_memory,4724,7822,6059.91,26.74781231
TSPA,list_memory_k50,list_memory,4724,7822,6059.91,27.04945906
TSPB,candidate_k10,candidate,16171,19109,17757.18,63.91628839
TSPB,candidate_k100,candidate,16122,19246,17792.55,419.99072892
TSPB,candidate_k15,candidate,15186,19154,17683.03,84.69100974000001
TSPB,candidate_k20,candidate,15545,19009,17697.96,106.13204078000001
TSPB,candidate_k200,candidate,16122,19246,17792.55,764.1492696700001
TSPB,candidate_k25,candidate,16199,19189,17810.9,127.17678504
TSPB,candidate_k5,candidate,14187,18893,17112.05,42.364246030000004
TSPB,candidate_k50,candidate,16122,19007,17815.03,228.42088972000002
TSPB,hybrid_k10,hybrid,15216,19066,17693.99,20.11337459
TSPB,hybrid_k100,hybrid,16069,19143,17711.29,50.53638637
TSPB,hybrid_k15,hybrid,14918,19169,17766.56,22.050170549999997
TSPB,hybrid_k20,hybrid,15096,19379,17821.59,24.03521099
TSPB,hybrid_k200,hybrid,16069,19143,17696.63,78.20079312
TSPB,hybrid_k25,hybrid,14393,19418,17689.74,26.19498491
TSPB,hybrid_k5,hybrid,12415,18856,16728.67,19.36970351
TSPB,hybrid_k50,hybrid,15962,19143,17677.07,35.25693538
TSPB,lazy_pq_k10,lazy_pq,15566,18962,17510.4,37.39064834
TSPB,lazy_pq_k100,lazy_pq,15566,18962,17510.4,37.38058732
TSPB,lazy_pq_k15,lazy_pq,15566,18962,17510.4,37.454112869999996
TSPB,lazy_pq_k20,lazy_pq,15566,18962,17510.4,37.380839259999995
TSPB,lazy_pq_k200,lazy_pq,15566,18962,17510.4,36.81937683
TSPB,lazy_pq_k25,lazy_pq,15566,18962,17510.4,38.25267576
TSPB,lazy_pq_k5,lazy_pq,15566,18962,17510.4,37.496731759999996
TSPB,lazy_pq_k50,lazy_pq,15566,18962,17510.4,37.73417567
TSPB,list_memory_k10,list_memory,15912,19143,17669.63,31.17212072
TSPB,list_memory_k100,list_memory,15912,19143,17669.63,30.85526762
TSPB,list_memory_k15,list_memory,15912,19143,17669.63,30.396036119999998
TSPB,list_memory_k20,list_memory,15912,19143,17669.63,30.34012103
TSPB,list_memory_k200,list_memory,15912,19143,17669.63,30.790298469999996
TSPB,list_memory_k25,list_memory,15912,19143,17669.63,30.68154365
TSPB,list_memory_k5,list_memory,15912,19143,17669.63,30.9506257
TSPB,list_memory_k50,list_memory,15912,19143,17669.63,30.297180490000002
