instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_final_profit,mean_final_distance,mean_time_ms
TSPA,greedy_cycle,1894,4368,3502.37,31520.75,28018.38,33.03471939
TSPA,greedy_cycle_profit,2936,4383,3637.17,31981.8,28344.63,24.83894041
TSPA,nearest_neighbor,-2121,5618,2570.57,32141.19,29570.62,1.1905241
TSPA,nearest_neighbor_profit,-3369,2712,-843.61,30821.59,31665.2,1.38420669
TSPA,random,-314492,-8737,-162562.56,0.0,0.0,0.01375768
TSPA,regret,5071,6934,6130.09,32803.32,26673.23,18.44888245
TSPA,weighted_regret,3366,4855,4303.77,32045.96,27742.19,18.276092209999998
TSPB,greedy_cycle,12527,15375,13628.66,44029.69,30401.03,17.386509269999998
TSPB,greedy_cycle_profit,14142,16106,14815.65,44477.16,29661.51,18.23266057
TSPB,nearest_neighbor,10429,16455,13469.98,45763.03,32293.05,1.14195817
TSPB,nearest_neighbor_profit,2251,8651,5710.43,44332.84,38622.41,1.33043183
TSPB,random,-288745,-12076,-150698.64,0.0,0.0,0.01399756
TSPB,regret,16902,19270,18090.59,45450.28,27359.69,18.1020805
TSPB,weighted_regret,15364,17046,16116.24,44121.53,28005.29,17.77548107
