instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_final_distance,mean_time_ms
TSPA,greedy_edge,3730,6966,5487.27,20917.47,17.17124474
TSPA,greedy_node,-11516,3075,-2993.13,31832.31,25.36130554
TSPA,random_walk,-168441,-128855,-148483.86,166240.36,346.86115896
TSPA,steepest_edge,4355,7552,6068.08,22644.05,228.99354491999998
TSPA,steepest_node,-16843,526,-5967.6,37911.28,337.02883113
TSPB,greedy_edge,13508,18669,16631.63,24245.72,23.077218050000003
TSPB,greedy_node,187,14455,7539.33,35510.9,29.26197424
TSPB,random_walk,-160783,-113397,-138860.08,163013.4,347.0077647
TSPB,steepest_edge,15314,19360,17649.15,24819.39,257.96217914
TSPB,steepest_node,-3750,8418,2460.1,43031.74,354.60728643000004
