instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_time_ms,min_iterations,max_iterations,mean_iterations
TSPA,hae_op1_ls,7396,8152,7819.65,796.3215653999999,156,172,165.1
TSPA,hae_op2_ls,7618,8272,7908.75,796.1746462,171,232,190.5
TSPA,hae_op2_no_ls,6769,7590,7136.95,794.6797981,459,601,534.4
TSPA,hae_op3_ls,7747,8459,8088.35,795.1242092,307,463,372.6
TSPA,hae_op3_no_ls,6885,7590,7247.65,794.59880735,437,673,546.35
TSPA,ils,6610,7956,7372.55,794.962002,421,479,441.6
TSPA,lns,7156,8316,7758.75,795.140369,244,488,339.65
TSPA,msls,7438,7902,7660.4,793.66163645,200,200,200.0
TSPB,hae_op1_ls,19427,19964,19703.85,847.5049028,143,158,149.9
TSPB,hae_op2_ls,19506,20045,19761.9,846.8215094999999,164,182,171.5
TSPB,hae_op2_no_ls,18445,19214,18914.1,845.96922645,379,441,403.8
TSPB,hae_op3_ls,19794,20099,19947.35,846.46224145,258,292,278.85
TSPB,hae_op3_no_ls,18683,19558,19085.2,845.9296383999999,367,428,392.45
TSPB,ils,18079,19572,19138.95,845.8665033999999,428,463,446.25
TSPB,lns,17850,20016,19660.3,846.1978997,222,494,257.25
TSPB,msls,19019,19777,19278.3,845.1616607,200,200,200.0
