instance,solver,min_final_objective,max_final_objective,mean_final_objective,mean_time_ms,min_iterations,max_iterations,mean_iterations
TSPA,greedy_baseline,2769,2769,2769.0,2.90617575,1,1,1.0
TSPA,hae_op1_ls,8377,8666,8540.55,2472.16404725,5086,6654,5799.75
TSPA,hae_op2_ls,8425,8666,8590.1,2472.2507307,5625,7634,6560.6
TSPA,hae_op2_no_ls,6899,7838,7397.2,2472.06147615,18731,22848,20517.1
TSPA,hae_op3_ls,8322,8666,8494.3,2472.0991137,8632,11955,10506.75
TSPA,hae_op3_no_ls,6899,7838,7414.0,2472.0663301,13138,26923,19119.4
TSPA,hae_random_ls,8461,8666,8581.65,2472.20910945,6120,8061,7078.65
TSPA,ils,7502,8410,7960.7,2472.33196705,3494,4059,3714.3
TSPA,lns,7285,8496,8055.6,2472.0993906,7024,12599,9238.15
TSPA,lns_no_ls,-5626,-2769,-4434.05,2472.025994,34099,35315,34581.4
TSPA,local_search_baseline,5245,7204,6344.85,1.7164875,0,0,0.0
TSPA,msls,7525,7933,7724.9,2472.3038234,200,200,200.0
TSPB,greedy_baseline,16654,16654,16654.0,2.8940491,1,1,1.0
TSPB,hae_op1_ls,20213,20213,20213.0,2814.22569265,5827,6186,6025.6
TSPB,hae_op2_ls,20213,20213,20213.0,2814.2159168999997,6585,7181,6921.25
TSPB,hae_op2_no_ls,18332,19561,18991.4,2814.0904601499997,13971,16320,15071.4
TSPB,hae_op3_ls,19983,20213,20139.0,2814.17407805,7968,9447,8903.45
TSPB,hae_op3_no_ls,18632,19561,19127.75,2814.11985475,10965,15640,13152.1
TSPB,hae_random_ls,20213,20213,20213.0,2814.20613935,6889,7379,7174.25
TSPB,ils,19013,20103,19623.5,2814.37408575,3653,3991,3849.75
TSPB,lns,19861,20197,19962.35,2814.195673,7428,8455,7893.6
TSPB,lns_no_ls,-1217,3863,1566.85,2814.0424620999997,39121,40718,39873.05
TSPB,local_search_baseline,16472,19133,17827.85,1.8427543,0,0,0.0
TSPB,msls,19117,19537,19337.75,2814.22554675,200,200,200.0
